count,name
2,part_column=1946-05FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
23,part_column=1946-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
44,part_column=1946-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1946-07FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
23,part_column=1946-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1946-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
17,part_column=1946-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1946-09FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
14,part_column=1946-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
14,part_column=1946-10FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
29,part_column=1946-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
9,part_column=1946-11FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1946-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1946-12FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1946-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
14,part_column=1947-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
33,part_column=1947-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1947-02FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
12,part_column=1947-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1947-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
32,part_column=1947-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1947-04FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
19,part_column=1947-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1947-05FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
26,part_column=1947-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1947-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
26,part_column=1947-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1947-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
93,part_column=1947-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
23,part_column=1947-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1947-10FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
17,part_column=1947-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
54,part_column=1947-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1947-12FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1947-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
18,part_column=1948-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
42,part_column=1948-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
15,part_column=1948-02FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
44,part_column=1948-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1948-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1948-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1948-04FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1948-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
14,part_column=1948-05FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
19,part_column=1948-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
26,part_column=1948-06FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
20,part_column=1948-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1948-07FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
27,part_column=1948-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1948-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
31,part_column=1948-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1948-09FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
18,part_column=1948-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1948-10FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
85,part_column=1948-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1948-11FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
39,part_column=1948-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
11,part_column=1948-12FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
31,part_column=1948-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
18,part_column=1949-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
86,part_column=1949-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
13,part_column=1949-02FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
62,part_column=1949-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1949-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
24,part_column=1949-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1949-04FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
